"","Plot.Name","Plot.Number","Artificial.Cover.Object.Number","Year","Date","Time","Survey.Number","Eastern.Redback.Salamander.Count","Redback.form.of.Eastern.Redback.Salamander.Count","Leadback.form.of.Eastern.Redback.Salamander.Count","Artificial.Cover.Object.Age..year.s..","Observer.Names","Precipitation.in.the.Last.24.hours..mm.","Air.Temperature..degC.","Soil.Temperature..degC.","Beaufort.Sky.Class","Beaufort.Wind.Class","Soil.Moisture","Soil.pH"
"1","Pendall Point","01 08","6","2007","26/04/2007","4:05 PM","2","2","2","0","4","John Haselmayer","0","7.5","N/A","N/A","N/A","N/A","N/A"
"2","Pendall Point","01 08","7","2007","26/04/2007","4:05 PM","2","1","1","0","4","John Haselmayer","0","7.5","N/A","N/A","N/A","N/A","N/A"
"3","Pendall Point","01 08","12","2007","26/04/2007","4:05 PM","2","1","1","0","4","John Haselmayer","0","7.5","N/A","N/A","N/A","N/A","N/A"
"4","Pendall Point","01 08","13","2007","26/04/2007","4:05 PM","2","2","2","0","4","John Haselmayer","0","7.5","N/A","N/A","N/A","N/A","N/A"
"5","Pendall Point","01 08","15","2007","26/04/2007","4:05 PM","2","1","1","0","4","John Haselmayer","0","7.5","N/A","N/A","N/A","N/A","N/A"
"6","Pendall Point","01 08","18","2007","26/04/2007","4:05 PM","2","1","1","0","4","John Haselmayer","0","7.5","N/A","N/A","N/A","N/A","N/A"
"7","Pendall Point","01 08","22","2007","26/04/2007","4:05 PM","2","1","1","0","4","John Haselmayer","0","7.5","N/A","N/A","N/A","N/A","N/A"
"8","Pendall Point","01 08","23","2007","26/04/2007","4:05 PM","2","2","1","1","4","John Haselmayer","0","7.5","N/A","N/A","N/A","N/A","N/A"
"9","Pendall Point","01 08","28","2007","26/04/2007","4:05 PM","2","1","1","0","4","John Haselmayer","0","7.5","N/A","N/A","N/A","N/A","N/A"
"10","Pendall Point","01 08","30","2007","26/04/2007","4:05 PM","2","1","1","0","4","John Haselmayer","0","7.5","N/A","N/A","N/A","N/A","N/A"
"11","Pendall Point","01 08","38","2007","26/04/2007","4:05 PM","2","1","1","0","4","John Haselmayer","0","7.5","N/A","N/A","N/A","N/A","N/A"
"12","South Cameron Lake","01 07","2","2007","26/04/2007","12:00 PM","2","2","1","1","4","John Haselmayer","0","9.7","N/A","N/A","N/A","N/A","N/A"
"13","South Cameron Lake","01 07","6","2007","26/04/2007","12:00 PM","2","2","2","0","4","John Haselmayer","0","9.7","N/A","N/A","N/A","N/A","N/A"
"14","South Cameron Lake","01 07","7","2007","26/04/2007","12:00 PM","2","1","1","0","4","John Haselmayer","0","9.7","N/A","N/A","N/A","N/A","N/A"
"15","South Cameron Lake","01 07","12","2007","26/04/2007","12:00 PM","2","1","1","0","4","John Haselmayer","0","9.7","N/A","N/A","N/A","N/A","N/A"
"16","South Cameron Lake","01 07","20","2007","26/04/2007","12:00 PM","2","1","0","1","4","John Haselmayer","0","9.7","N/A","N/A","N/A","N/A","N/A"
"17","South Cameron Lake","01 07","21","2007","26/04/2007","12:00 PM","2","1","1","0","4","John Haselmayer","0","9.7","N/A","N/A","N/A","N/A","N/A"
"18","South Cameron Lake","01 07","24","2007","26/04/2007","12:00 PM","2","2","2","0","4","John Haselmayer","0","9.7","N/A","N/A","N/A","N/A","N/A"
"19","South Cameron Lake","01 07","32","2007","26/04/2007","12:00 PM","2","2","1","1","4","John Haselmayer","0","9.7","N/A","N/A","N/A","N/A","N/A"
"20","Emmett Lake","01 02","8","2007","26/04/2007","11:00 AM","2","1","1","0","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"21","Emmett Lake","01 02","11","2007","26/04/2007","11:00 AM","2","1","0","1","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"22","Emmett Lake","01 02","12","2007","26/04/2007","11:00 AM","2","2","2","0","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"23","Emmett Lake","01 02","16","2007","26/04/2007","11:00 AM","2","1","0","1","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"24","Emmett Lake","01 02","17","2007","26/04/2007","11:00 AM","2","1","1","0","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"25","Emmett Lake","01 02","20","2007","26/04/2007","11:00 AM","2","2","2","0","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"26","Emmett Lake","01 02","21","2007","26/04/2007","11:00 AM","2","2","1","1","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"27","Emmett Lake","01 02","26","2007","26/04/2007","11:00 AM","2","1","1","0","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"28","Emmett Lake","01 02","29","2007","26/04/2007","11:00 AM","2","1","0","1","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"29","Emmett Lake","01 02","30","2007","26/04/2007","11:00 AM","2","1","1","0","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"30","Emmett Lake","01 02","36","2007","26/04/2007","11:00 AM","2","1","1","0","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"31","Emmett Lake","01 02","37","2007","26/04/2007","11:00 AM","2","1","1","0","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"32","Emmett Lake","01 02","39","2007","26/04/2007","11:00 AM","2","2","2","0","4","John Haselmayer","0","10.8","N/A","N/A","N/A","N/A","N/A"
"33","Cameron Lake Dunes","01 01","1","2007","26/04/2007","3:00 PM","2","2","2","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"34","Cameron Lake Dunes","01 01","5","2007","26/04/2007","3:00 PM","2","1","1","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"35","Cameron Lake Dunes","01 01","6","2007","26/04/2007","3:00 PM","2","2","2","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"36","Cameron Lake Dunes","01 01","12","2007","26/04/2007","3:00 PM","2","1","1","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"37","Cameron Lake Dunes","01 01","19","2007","26/04/2007","3:00 PM","2","2","1","1","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"38","Cameron Lake Dunes","01 01","20","2007","26/04/2007","3:00 PM","2","3","2","1","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"39","Cameron Lake Dunes","01 01","21","2007","26/04/2007","3:00 PM","2","5","4","1","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"40","Cameron Lake Dunes","01 01","22","2007","26/04/2007","3:00 PM","2","4","4","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"41","Cameron Lake Dunes","01 01","23","2007","26/04/2007","3:00 PM","2","1","1","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"42","Cameron Lake Dunes","01 01","25","2007","26/04/2007","3:00 PM","2","6","6","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"43","Cameron Lake Dunes","01 01","27","2007","26/04/2007","3:00 PM","2","7","7","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"44","Cameron Lake Dunes","01 01","28","2007","26/04/2007","3:00 PM","2","1","1","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"45","Cameron Lake Dunes","01 01","29","2007","26/04/2007","3:00 PM","2","1","1","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"46","Cameron Lake Dunes","01 01","30","2007","26/04/2007","3:00 PM","2","1","1","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"47","Cameron Lake Dunes","01 01","31","2007","26/04/2007","3:00 PM","2","1","1","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"48","Cameron Lake Dunes","01 01","38","2007","26/04/2007","3:00 PM","2","1","1","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"49","Cameron Lake Dunes","01 01","39","2007","26/04/2007","3:00 PM","2","1","0","1","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"50","Cameron Lake Dunes","01 01","40","2007","26/04/2007","3:00 PM","2","3","3","0","4","John Haselmayer","0","8.2","N/A","N/A","N/A","N/A","N/A"
"51","Pendall Point","01 08","7","2007","03/05/2007","5:30 PM","3","2","1","1","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"52","Pendall Point","01 08","8","2007","03/05/2007","5:30 PM","3","1","1","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"53","Pendall Point","01 08","10","2007","03/05/2007","5:30 PM","3","1","1","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"54","Pendall Point","01 08","11","2007","03/05/2007","5:30 PM","3","1","1","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"55","Pendall Point","01 08","12","2007","03/05/2007","5:30 PM","3","2","2","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"56","Pendall Point","01 08","13","2007","03/05/2007","5:30 PM","3","2","2","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"57","Pendall Point","01 08","14","2007","03/05/2007","5:30 PM","3","1","1","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"58","Pendall Point","01 08","18","2007","03/05/2007","5:30 PM","3","1","1","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"59","Pendall Point","01 08","23","2007","03/05/2007","5:30 PM","3","3","2","1","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"60","Pendall Point","01 08","26","2007","03/05/2007","5:30 PM","3","1","0","1","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"61","Pendall Point","01 08","27","2007","03/05/2007","5:30 PM","3","1","1","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"62","Pendall Point","01 08","28","2007","03/05/2007","5:30 PM","3","1","1","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"63","Pendall Point","01 08","30","2007","03/05/2007","5:30 PM","3","1","1","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"64","Pendall Point","01 08","31","2007","03/05/2007","5:30 PM","3","1","1","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"65","Pendall Point","01 08","36","2007","03/05/2007","5:30 PM","3","1","0","1","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"66","Pendall Point","01 08","38","2007","03/05/2007","5:30 PM","3","1","1","0","4","John Haselmayer, Michelle Watson","0","12.8","N/A","0","2","N/A","N/A"
"67","South Cameron Lake","01 07","2","2007","03/05/2007","1:02 PM","3","2","1","1","4","John Haselmayer, D. Ritchie","0","12.8","N/A","0","1","N/A","N/A"
"68","South Cameron Lake","01 07","6","2007","03/05/2007","1:02 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","12.8","N/A","0","1","N/A","N/A"
"69","South Cameron Lake","01 07","7","2007","03/05/2007","1:02 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","12.8","N/A","0","1","N/A","N/A"
"70","South Cameron Lake","01 07","10","2007","03/05/2007","1:02 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","12.8","N/A","0","1","N/A","N/A"
"71","South Cameron Lake","01 07","14","2007","03/05/2007","1:02 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","12.8","N/A","0","1","N/A","N/A"
"72","South Cameron Lake","01 07","20","2007","03/05/2007","1:02 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","12.8","N/A","0","1","N/A","N/A"
"73","South Cameron Lake","01 07","21","2007","03/05/2007","1:02 PM","3","2","2","0","4","John Haselmayer, D. Ritchie","0","12.8","N/A","0","1","N/A","N/A"
"74","South Cameron Lake","01 07","23","2007","03/05/2007","1:02 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","12.8","N/A","0","1","N/A","N/A"
"75","South Cameron Lake","01 07","24","2007","03/05/2007","1:02 PM","3","2","2","0","4","John Haselmayer, D. Ritchie","0","12.8","N/A","0","1","N/A","N/A"
"76","South Cameron Lake","01 07","32","2007","03/05/2007","1:02 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","12.8","N/A","0","1","N/A","N/A"
"77","Emmett Lake","01 02","1","2007","03/05/2007","12:10 PM","3","2","2","0","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"78","Emmett Lake","01 02","2","2007","03/05/2007","12:10 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"79","Emmett Lake","01 02","5","2007","03/05/2007","12:10 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"80","Emmett Lake","01 02","6","2007","03/05/2007","12:10 PM","3","1","0","1","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"81","Emmett Lake","01 02","8","2007","03/05/2007","12:10 PM","3","2","2","0","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"82","Emmett Lake","01 02","12","2007","03/05/2007","12:10 PM","3","2","2","0","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"83","Emmett Lake","01 02","15","2007","03/05/2007","12:10 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"84","Emmett Lake","01 02","16","2007","03/05/2007","12:10 PM","3","3","2","1","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"85","Emmett Lake","01 02","18","2007","03/05/2007","12:10 PM","3","2","2","0","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"86","Emmett Lake","01 02","19","2007","03/05/2007","12:10 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"87","Emmett Lake","01 02","20","2007","03/05/2007","12:10 PM","3","4","2","2","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"88","Emmett Lake","01 02","21","2007","03/05/2007","12:10 PM","3","2","0","2","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
"89","Emmett Lake","01 02","22","2007","03/05/2007","12:10 PM","3","1","1","0","4","John Haselmayer, D. Ritchie","0","13","N/A","0","2","N/A","N/A"
